32	0x20	 	6153	6964717	glg	Canto diñeiro tes aforrado?	iharmonize2	2018-06-27 03:46:34	2018-06-27 03:47:46
33	0x21	!	198	9726228	glg	Son celíaca: non podo tomar glute!	mialiesperantistas	2021-02-05 12:48:58	2021-02-05 12:49:16
34	0x22	"	62	12126134	glg	"Gratis" significa que non necesitas pagar por iso.	carlosalberto	2023-10-24 16:36:03	2023-10-24 16:36:03
37	0x25	%	1	1340827	glg	Pronostícase un 4% de inflación pra este ano.	vagalume55	2012-01-05 23:08:08	2012-01-05 23:08:08
39	0x27	'	3	9726242	glg	No século XIX prodúxose unha revitalización da literatura en catalán e en galego. En Cataluña houbo a Renaixença ('a Renacenza') co poeta Jacint Verdaguer, o dramaturgo Àngel Guimerà e o novelista Narcís Oller. Na Galiza tiveron o Rexurdimento, representado en especial por poetas: Rosalía de Castro, Manuel Curros Enríquez e Eduardo Pondal.	mialiesperantistas	2021-02-05 13:07:23	2021-02-05 13:07:23
40	0x28	(	13	1340216	glg	O doutor L.L. Zamenhof (1859-1917) traduciu persoalmente obras mestras da literatura ao esperanto.	vagalume55	2012-01-05 18:30:22	2012-01-05 21:19:06
41	0x29	)	14	1340216	glg	O doutor L.L. Zamenhof (1859-1917) traduciu persoalmente obras mestras da literatura ao esperanto.	vagalume55	2012-01-05 18:30:22	2012-01-05 21:19:06
43	0x2b	+	2	8881563	glg	Tom é parte da comunidade LGBTQ+.	mialiesperantistas	2020-06-30 08:45:36	2020-06-30 08:45:36
44	0x2c	,	834	1430958	glg	Non, grazas. Estou canso.	gleOsp	2012-02-12 16:46:54	2012-02-12 16:46:54
45	0x2d	-	68	12170269	glg	Sri Ramana Maharshi (30.12.1879-14.04.1950), que morreu de cancro, cando os seus discípulos lle preguntaban se sentía algunha dor, adoitaba responder: Hai dor no meu corpo. Escribiu o libro "Quen son eu?"	carlosalberto	2023-11-20 19:59:08	2023-11-20 19:59:08
46	0x2e	.	5389	9372792	glg	Teño un coche, unha motocicleta e dúas bicicletas.	escudo119	2020-11-24 23:36:13	2020-11-24 23:36:13
47	0x2f	/	3	12250124	glg	E non descansará ata que mate / un animal por cada un dos barcos. / Despois, retorna ao porto e a caza distribúe.	carlosalberto	2024-01-03 20:29:37	2024-01-03 20:29:37
48	0x30	0	33	1437888	glg	Terrible accidente de helicóptero nun cemiterio belga, os rescatadores xa acharon máis de 500 cadáveres.	peibolvig	2012-02-15 23:46:31	2012-02-15 23:50:48
49	0x31	1	29	1340216	glg	O doutor L.L. Zamenhof (1859-1917) traduciu persoalmente obras mestras da literatura ao esperanto.	vagalume55	2012-01-05 18:30:22	2012-01-05 21:19:06
50	0x32	2	21	1423222	glg	Iso é o que significa compartir o mundo no século 21. Esa é a responsabilidade que temos uns cos outros como seres humanos.	peibolvig	2012-02-09 00:13:01	2012-02-09 00:13:01
51	0x33	3	18	1431492	glg	A miña sobriña de 3 anos deume un bico na meixela.	gleOsp	2012-02-12 20:12:49	2012-02-12 20:12:49
52	0x34	4	12	1342743	glg	El marchou ás 4 da mañá.	vagalume55	2012-01-06 20:15:20	2012-01-08 19:14:24
53	0x35	5	18	8903425	glg	Non viñeron máis de 50 persoas.	mialiesperantistas	2020-07-09 19:36:19	2020-07-09 19:36:19
54	0x36	6	6	12357839	glg	Rigel é unha estrela azul superxigante cun diámetro máis de 80 veces o do noso Sol e está a máis de 650 anos luz de nós.	carlosalberto	2024-03-05 21:18:33	2024-03-05 21:18:33
55	0x37	7	12	625445	glg	Almorcei ás 7:30.	rosa	2010-11-17 20:28:07	2010-11-17 20:28:07
56	0x38	8	13	12001716	glg	A 21ª (vixésimo primeira) Enmenda anulou a 18ª (décimo oitava) e beber volveuse a legalizar nos Estados Unidos en decembro de 1933.	carlosalberto	2023-08-17 18:52:33	2023-08-17 18:56:24
57	0x39	9	12	4750309	glg	Nacín en Barcelona o 23 de marzo de 1969.	vagalume55	2015-12-07 17:49:47	2015-12-07 17:49:47
58	0x3a	:	49	962865	glg	Hai 10 tipos de persoas no mundo: as que entenden binario e as que non.	gleOsp	2011-06-27 22:02:58	2011-06-27 22:02:58
59	0x3b	;	32	1338706	glg	A beleza non é unha calidade das cousas por si mesmas: unicamente existe na mente que as contempla; e cada mente percibe unha beleza diferente.	gleOsp	2012-01-05 03:59:16	2012-01-05 03:59:16
60	0x3c	<	1	962824	glg	Escolle frases ao chou (2 ou 3), grávaas, e envíano-los exemplos a team@tatoeba.org, co título "Audio for Tatoeba in <nome do idioma>".	gleOsp	2011-06-27 21:47:56	2012-01-21 11:56:02
61	0x3d	=	1	12197784	glg	Álxebra elemental: a) sexa x o número de frases en galego; b) sexa x + 700 o número de frases en romanés; c) hoxe, x + 700 = 2x; d) cal é o valor de x? Solución: 2x = x + 700 ➜ 2x - x = 700 ➜ x = 700. Conclusión: hoxe hai 700 frases en galego e 1.400 en romanés.	carlosalberto	2023-12-06 19:22:01	2023-12-06 19:22:01
62	0x3e	>	1	962824	glg	Escolle frases ao chou (2 ou 3), grávaas, e envíano-los exemplos a team@tatoeba.org, co título "Audio for Tatoeba in <nome do idioma>".	gleOsp	2011-06-27 21:47:56	2012-01-21 11:56:02
63	0x3f	?	693	957161	glg	Se vas ao supermercado, poderíasme traer algunhas laranxas por favor?	gleOsp	2011-06-25 03:59:43	2011-06-25 03:59:43
64	0x40	@	1	962824	glg	Escolle frases ao chou (2 ou 3), grávaas, e envíano-los exemplos a team@tatoeba.org, co título "Audio for Tatoeba in <nome do idioma>".	gleOsp	2011-06-27 21:47:56	2012-01-21 11:56:02
65	0x41	A	834	1456100	glg	A que hora queres almorzar?	gleOsp	2012-02-26 02:20:32	2012-02-26 02:20:32
66	0x42	B	90	1431487	glg	Bule. Se non vas chegar tarde.	gleOsp	2012-02-12 20:10:26	2012-02-12 20:10:26
67	0x43	C	424	961595	glg	O iberismo é un movemento en prol da unificación dos pobos e nacións ibéricas como Cataluña, Castela, Portugal, Galicia, Euskadi, Andalucía...	gleOsp	2011-06-27 02:09:17	2011-06-27 02:09:17
68	0x44	D	301	12283408	glg	Quen pode ser elocuente ante o Misterio que é Deus?	carlosalberto	2024-01-24 11:45:58	2024-01-24 11:45:58
69	0x45	E	962	1422815	glg	Estabamos cociñando tempura naquel intre.	peibolvig	2012-02-08 19:46:31	2012-02-08 19:46:31
70	0x46	F	146	962945	glg	Foi dar unha volta.	gleOsp	2011-06-27 22:56:44	2011-06-27 22:56:44
71	0x47	G	137	12363751	glg	Graves ata o punto de crueldade para as mozas novas que sucumbiron á paixón, somos máis que plenamente indulxentes para os mozos que fan o mesmo.	carlosalberto	2024-03-09 21:07:04	2024-03-09 21:07:04
72	0x48	H	123	1227553	glg	Hoxe vai vento.	gleOsp	2011-11-09 20:29:03	2011-11-09 20:29:03
73	0x49	I	115	9726242	glg	No século XIX prodúxose unha revitalización da literatura en catalán e en galego. En Cataluña houbo a Renaixença ('a Renacenza') co poeta Jacint Verdaguer, o dramaturgo Àngel Guimerà e o novelista Narcís Oller. Na Galiza tiveron o Rexurdimento, representado en especial por poetas: Rosalía de Castro, Manuel Curros Enríquez e Eduardo Pondal.	mialiesperantistas	2021-02-05 13:07:23	2021-02-05 13:07:23
74	0x4a	J	28	1342676	glg	Iso foi antes de que John fose a prisión.	vagalume55	2012-01-06 19:48:33	2012-01-08 19:41:29
75	0x4b	K	17	1445754	glg	O meu pai chamoume Kazunari.	peibolvig	2012-02-20 14:37:14	2012-02-20 14:37:14
76	0x4c	L	100	1862305	glg	Lisca de aquí, e axiña.	gleOsp	2012-09-23 22:34:58	2012-09-23 22:34:58
77	0x4d	M	227	8924308	glg	Aristóteles era nativo de Estaxira, pero fíxose famoso en Atenas e Macedonia.	escudo119	2020-07-18 22:33:18	2020-07-18 22:33:18
78	0x4e	N	601	1227463	glg	Nacín no medio do mar.	gleOsp	2011-11-09 19:42:58	2011-11-09 19:42:58
79	0x4f	O	803	650924	glg	O meu amigo xa debería chegar.	rosa	2010-12-05 14:41:03	2010-12-05 14:41:03
80	0x50	P	445	1431441	glg	Está a anubrar. Poida que choiva deica pouco.	gleOsp	2012-02-12 19:53:11	2012-02-12 19:53:11
81	0x51	Q	231	12335642	glg	Que castigo merece quen comete tantos erros na escola de idiomas?	carlosalberto	2024-02-23 18:17:28	2024-02-23 18:17:28
