32	0x20	 	429431	3800575	por	As pétalas da rosa são muito delicadas.	muriloricci	2015-01-26 15:53:02	2015-01-26 15:53:02
33	0x21	!	12134	11069330	por	Nós lhe desejamos boa sorte!	alexmarcelo	2022-08-18 21:58:28	2022-08-18 21:58:28
34	0x22	"	5443	4978117	por	Ele entrou no café assobiando a popular ária "La donna è mobile".	ianna	2016-03-15 14:18:08	2016-03-15 18:14:08
35	0x23	#	3	5314594	por	A maioria das matérias postadas usando a palavra #RioOlympics vem de usuários que criticam os ostensivos riscos de segurança. Um qualificou o acontecimento como “uma grande piada”.	carlosalberto	2016-08-02 18:16:57	2016-08-02 18:16:57
36	0x24	$	105	7265062	por	Eu devo ao Tom $ 300.	Ricardo14	2018-10-08 00:27:12	2018-10-08 00:27:12
37	0x25	%	238	8221968	por	É 100% gratuito.	josivangoncalves	2019-09-30 18:48:59	2019-09-30 18:49:05
38	0x26	&	12	12218151	por	Os Estados Unidos vão doar 17 milhões de doses da vacina de dose única da Johnson & Johnson à União Africana, elevando o total de doações americanas ao continente para 67 milhões de doses.	Cangarejo	2023-12-19 12:57:12	2023-12-19 12:57:12
39	0x27	'	351	1288355	por	Minha câmera é à prova d'água.	alexmarcelo	2011-12-09 01:36:59	2011-12-09 01:37:02
40	0x28	(	664	2688338	por	Interlíngua está registrada na Organização Internacional de Padronização (ISO) como ia.	carlosalberto	2013-08-19 20:23:40	2013-08-19 20:23:40
41	0x29	)	665	729138	por	Não estou entendendo nada (d)o que o estrangeiro está dizendo.	lenon_perez	2011-01-27 11:33:39	2011-01-27 11:33:39
43	0x2b	+	25	2775907	por	Resolver a equação cúbica x³ + 2x² − x − 2 = 0.	carlosalberto	2013-10-06 14:20:20	2013-10-06 14:20:20
44	0x2c	,	58256	7002032	por	Faz da noite, noite; e do dia, dia e viverás com alegria.	iart61	2018-07-17 18:42:00	2018-07-17 18:42:00
45	0x2d	-	25506	1376530	por	A justiça humana é infalível? - Não, a justiça humana é falível.	tulio	2012-01-20 13:43:48	2012-01-20 13:43:48
46	0x2e	.	357706	2634157	por	O Tom e a Mary geralmente falam francês entre si.	marcospcruz	2013-08-01 12:28:04	2013-08-01 12:28:04
47	0x2f	/	845	6083078	por	Você acha que o Tom ainda está planejando fazer isso/aquilo?	BrunoHenriquesHasper	2017-05-17 02:37:35	\N
48	0x30	0	3686	2623379	por	Eu estive com o Tom das 8h30 às 2h30.	alexmarcelo	2013-07-27 01:53:17	2013-07-27 01:53:17
49	0x31	1	3347	6120046	por	A Mona Lisa foi roubada do Louvre em 1911.	carlosalberto	2017-06-01 17:20:24	\N
50	0x32	2	2507	7102063	por	Eu estive esperando desde as 2h30.	Ricardo14	2018-08-29 21:56:14	2018-08-29 21:56:14
51	0x33	3	1699	11955408	por	Sabe-se que as cartas náuticas são utilizadas desde o século XIII d.C., mas a mais antiga ainda existente cuja data pode ser fixada é a carta loxodrómica de Vesconte de 1311.	Cangarejo	2023-07-24 19:34:11	2023-07-26 14:28:32
52	0x34	4	1092	9961022	por	Em dezembro de 2019, a FIDE listava 14 Grandes Mestres brasileiros, três dos quais se encontram inativos.	carlosalberto	2021-04-15 23:07:14	2021-04-15 23:07:14
53	0x35	5	1517	1240212	por	A escola encomendou 500 canecas personalizadas para os alunos.	alexmarcelo	2011-11-15 15:22:18	2011-11-15 15:22:18
54	0x36	6	926	897241	por	Os Estados Unidos tornaram-se uma nação em 1776.	alexmarcelo	2011-05-18 00:00:45	2011-05-18 00:00:45
55	0x37	7	861	12273559	por	Até há pouco tempo, a última vez que alguém em Harpers Ferry tinha ouvido a vocalização de um falcão-peregrino tinha sido há cinquenta anos. Esta ave de rapina do tamanho de um corvo, cuja área de distribuição natural são as zonas costeiras escarpadas da América do Norte, foi quase dizimada pelo pesticida DDT. Desde que a toxina foi proibida em 1972, o falcão-peregrino tem registado uma recuperação lenta mas dramática.	Cangarejo	2024-01-18 15:10:00	2024-01-18 15:10:00
56	0x38	8	953	1007916	por	A "Campylobacter" é uma bactéria descoberta em 1983.	alexmarcelo	2011-07-26 02:13:10	2011-07-26 02:13:10
