32	0x20	 	4890375	6977979	rus	Для поддержки ты подставил свое плечо.	Pereskaz	2018-07-04 21:02:49	2018-07-04 21:02:49
33	0x21	!	36091	2760129	rus	Он упал в воду!	marafon	2013-09-26 01:32:38	2013-09-26 01:32:38
34	0x22	"	30174	2887551	rus	"Не хватает апострофа. It's и its - это разные вещи". - "Я знаю. Это была опечатка".	marafon	2013-11-29 21:00:08	2013-11-29 21:00:08
35	0x23	#	5	6738411	rus	Предложение #2416352 — это мой первый вклад на проекте Татоэба.	odexed	2018-03-06 08:59:09	2018-03-06 08:59:09
36	0x24	$	12	2743996	rus	Он подарил ей жемчужное ожерелье стоимостью $350,000.	naXa	2013-09-16 23:42:24	2013-09-16 23:42:24
37	0x25	%	250	8380537	rus	В то время как для 67% американцев старшего возраста имеют большое значение религия и вера в бога, среди молодых эта доля составляет всего 30%.	Inego	2019-12-13 03:28:50	2019-12-13 03:28:50
38	0x26	&	11	5654641	rus	Я люблю R&B.	Selena777	2016-12-03 08:09:59	2016-12-03 08:09:59
39	0x27	'	63	6198873	rus	"Je t'aime bien". — "Это что, по-французски?" — "Да, это французский".	nina99nv	2017-08-15 18:26:42	2017-08-15 18:26:42
40	0x28	(	466	3347781	rus	Когда капитан на брандере отправится по ордеру или сигналу, для зажигания неприятеля, то он не должен его зажечь, пока не сцепится с кораблем неприятельским, (разве принужден будет от необходимого случая не прицепяся к неприятелю его зажечь) но должен совершенно ту свою экспедицию учинить по указу, под наказанием таким, которое лежит прочим капитаном, о их должности во время бою.	soweli_Elepanto	2014-06-28 22:28:01	2014-06-28 22:28:01
41	0x29	)	476	3535931	rus	Возможно ли, что уважаемые научные мужи занимались словоблудием, проедая народные (да-да, народные, как ни покажется это сейчас, в наше окаянное время, странным) деньги, занимаясь, с позволения сказать, "туфтой"?	Ooneykcall	2014-10-03 23:50:32	2014-10-03 23:50:32
42	0x2a	*	10	4233550	rus	Какие скульптуры есть у Баки Урманче?” – “Шурале”, "Весенние мелодии”, “Тоска”, “Тукай*, “Галиасгар Камал”, “Назиб Жиганов” и другие”.	AqQoyriq_1	2015-05-29 12:48:27	2015-05-29 12:48:27
43	0x2b	+	98	4968549	rus	Мы ищем опытного программиста на C++ недалеко от Амстердама.	odexed	2016-03-11 17:57:27	2016-03-11 17:57:27
44	0x2c	,	346734	5527143	rus	Я вышел на пару минут, а когда вернулся, Тома уже и след простыл.	nina99nv	2016-10-18 09:19:10	2016-10-18 09:19:10
45	0x2d	-	67913	11932374	rus	Не кусочничай. Сейчас домой приедем - поешь как следует.	marafon	2023-07-15 17:06:59	2023-07-15 17:06:59
46	0x2e	.	869628	9583376	rus	Я не знаю местных дорог.	Ooneykcall	2021-01-03 01:09:04	2021-01-03 01:09:04
47	0x2f	/	108	2254423	rus	Лети, мысль, на золотых крыльях; // лети, отдыхая на горах и холмах, // туда, где воздух напоен теплом и нежностью, // сладостным ароматом родной земли!	MrShoval	2013-02-24 12:35:56	2013-02-24 12:35:56
48	0x30	0	4071	8450473	rus	Тома похитили 20 октября 2013 года, когда он ждал автобус.	marafon	2020-01-14 16:40:41	2020-01-14 16:40:41
49	0x31	1	3588	1462134	rus	Наш самолёт взлетел ровно в 18 часов.	MikaM	2012-02-29 07:59:39	2012-02-29 07:59:39
50	0x32	2	2439	5683010	rus	«Ну Том!» — «Что Том? Я уже 27 лет как Том».	odexed	2016-12-13 19:58:55	2016-12-13 19:58:55
51	0x33	3	1491	1823047	rus	Дайте нам 20-30 минут для нашей презентации.	Jefim	2012-09-07 07:40:43	2013-02-20 10:40:13
52	0x34	4	948	11406521	rus	Выделите корень из числа 49.	ZegPhig	2023-01-02 20:34:25	2023-01-02 20:34:25
53	0x35	5	1268	7030609	rus	Я могу управлять грузовиком, если его вес не превышает 3500 кг.	odexed	2018-07-29 19:11:38	2018-07-29 19:11:38
54	0x36	6	876	10710091	rus	На сегодняшний день в Татоэбу добавлено больше фраз на языке токипона (46 500), чем на латыни (41 400).	carlosalberto	2022-03-09 11:09:03	2022-05-23 13:10:15
55	0x37	7	776	5290153	rus	В книге "Вавилонская блудница" 317 страниц.	odexed	2016-07-20 14:58:38	2016-07-20 14:58:38
56	0x38	8	1019	2661604	rus	Во многих странах совершеннолетними считаются с 18 лет.	odexed	2013-08-08 19:31:13	2013-08-08 19:31:13
57	0x39	9	1504	4424872	rus	Кулидж легко победил на выборах в 1924 году.	odexed	2015-08-02 07:43:26	2015-08-02 07:43:26
58	0x3a	:	4108	5141170	rus	Мужчины и женщины по-разному борются со стрессом: мужчины в основном с помощью алкоголя, в то время как женщины с помощью общения.	odexed	2016-05-15 16:31:32	2016-05-15 16:31:32
59	0x3b	;	837	2847440	rus	На наш барак пошли столбы свободы, равенства и братства; всё, что сработали рабы, всегда работает на рабство.	AqQoyriq	2013-11-13 20:31:43	2013-11-13 20:31:43
60	0x3c	<	3	8338714	rus	Помните рассказ Горького <Красавица>?	BW	2019-11-22 11:42:49	2019-11-22 11:43:17
61	0x3d	=	28	5962300	rus	Функция f(x) = 5 является постоянной.	odexed	2017-03-19 17:21:23	\N
62	0x3e	>	12	12294709	rus	Объявляешь выборы —> Ставишь постановочных кандидатов, которые снимутся, как только появится такая возможность —> В итоге из кандидатов остаёшься только ты —> Ты президент —> Профит!	ZegPhig	2024-01-31 18:39:46	2024-01-31 18:39:46
63	0x3f	?	176518	5554891	rus	Ты их разбил?	marafon	2016-10-27 11:14:07	2016-10-27 11:14:07
64	0x40	@	17	2894579	rus	Выберите несколько случайных предложений (двух-трёх достаточно), запишите их и отправьте нам на team@tatoeba.org с заголовком "Audio for Tatoeba in ".	astynk	2013-12-01 21:01:08	2013-12-01 21:01:08
